,0
2014-01-31,-0.03649865416421228
2014-02-28,0.019659620265185227
2014-03-31,0.0155391281256913
2014-04-30,0.027346413060387664
2014-05-30,0.006262336674770144
2014-06-30,0.01320043855385788
2014-07-31,0.00634089399497464
2014-08-29,0.038771211965954934
2014-09-30,-0.03050354350157332
2014-10-31,0.022819068430415135
2014-11-28,-0.018872285657064544
2014-12-31,-0.031168834335056527
2015-01-30,0.013711526039737566
2015-02-27,0.035085084356368805
2015-03-31,-0.0007744917573539734
2015-04-30,0.027068266637225304
2015-05-29,-0.04631065920667646
2015-06-30,-0.0277041300910287
2015-07-31,0.018603790341219978
2015-08-31,-0.07187086903754682
2015-09-30,-0.018331657854732827
2015-10-30,0.03511363660085631
2015-11-30,-0.02591029444208056
2015-12-31,-0.015961118783801582
2016-01-29,0.04473406834969725
2016-02-29,-0.0024388990608278996
2016-03-31,0.08147079497264535
2016-04-29,-0.020140933718190243
2016-05-31,0.009053828166525842
2016-06-30,0.05887672707655323
2016-07-29,0.01973485816907689
2016-08-31,-0.012474813446907628
2016-09-30,-0.005238919074118562
2016-10-31,-0.0400479406719685
2016-11-30,-0.07469915291397239
2016-12-30,-0.024343054490036986
2017-01-31,0.013576085505792427
2017-02-28,0.04708600796748979
2017-03-31,0.02018927446922038
2017-04-28,0.00037155644976071293
2017-05-31,0.0554323768789813
2017-06-30,0.0009013197658726451
2017-07-31,0.010662996119657726
2017-08-31,-0.004607831124146113
2017-09-29,0.007875082940049287
2017-10-31,0.007307510240592709
2017-11-30,0.013640894509246038
2017-12-29,0.046281556924712586
2018-01-31,0.0372432126422939
2018-02-28,-0.026187604190481092
2018-03-30,0.019006781068080583
2018-04-30,-0.0028225313443179115
2018-05-31,-0.055504332328217346
2018-06-29,-0.03441991477683013
2018-07-31,0.014919533298125743
2018-08-31,-0.009778611968786882
2018-09-28,0.00907595416301631
2018-10-31,-0.05253338545020794
2018-11-30,0.021536740734885523
2018-12-31,0.019532647682938123
2019-01-31,0.03661054386609895
2019-02-28,0.022402862312028864
2019-03-29,0.008917643301495151
2019-04-30,0.008073205459912745
2019-05-31,-0.011241324359974832
2019-06-28,0.0437354968493094
2019-07-31,-0.005286450978308898
2019-08-30,0.019147902612864164
2019-09-30,0.026278451915852326
2019-10-31,0.029621663511792608
2019-11-29,-0.034936227203700175
2019-12-31,0.029278599865716615
2020-01-31,-0.025028364651874104
2020-02-28,-0.04248689147271349
2020-03-31,-0.059174566491426994
2020-04-30,0.10041748406749922
2020-05-29,0.007560993390064456
2020-06-30,0.06204307974958587
2020-07-31,0.03539191987199439
2020-08-31,-0.014877889462114031
2020-09-30,-0.027098249792830598
2020-10-30,0.025270555479724094
2020-11-30,0.049977657220306226
2020-12-31,0.029523712677609757
2021-01-29,-0.012406426260330557
2021-02-26,0.012941898876416256
2021-03-31,0.03742807550493847
2021-04-30,0.0005421055571272707
2021-05-31,0.007174088572342188
2021-06-30,0.006665569391887116
2021-07-30,-0.0016845614333688488
2021-08-31,0.023200697996013375
2021-09-30,-0.00813347172338306
2021-10-29,0.017538000210277325
2021-11-30,-0.006138495822780811
2021-12-31,0.019088791161433166
2022-01-31,-0.0044162790328264
2022-02-28,0.005929697681808897
2022-03-31,0.002369401647356605
2022-04-29,-0.009432437794156326
2022-05-31,-0.0032651099741086795
2022-06-30,-0.033762111783094746
2022-07-29,0.007045676376755605
2022-08-31,-0.004344407317424614
2022-09-30,-0.047160765253719816
2022-10-31,-0.02898275129818562
2022-11-30,0.13672730680638168
2022-12-30,-0.03505579172725707
2023-01-31,0.029692062569796587
2023-02-28,-0.0003239717758208166
2023-03-31,0.034334842926357356
2023-04-28,0.0328453193394511
2023-05-31,0.021176425966438185
2023-06-30,0.0022552212271683483
2023-07-31,0.024703302633735685
2023-08-31,-0.031085997725496875
2023-09-29,-0.019494589024555205
2023-10-31,-0.022664548253229
2023-11-30,0.06364275547966883
2023-12-29,0.03759026104415096
2024-01-31,-0.007217413861557577
2024-02-29,-0.004342256575710102
2024-03-29,-0.01953843393865837
2024-04-30,0.016192237779720595
2024-05-31,0.008240643323985029
2024-06-28,-0.01724511257095454
2024-07-31,0.02113785160145753
2024-08-30,0.035985617226017
2024-09-30,0.055092128247418985
2024-10-31,-0.008899448039595201
2024-11-29,-0.030198072921868366
2024-12-31,0.0044587091947498655
2025-01-31,-0.010120982370644287
2025-02-28,0.0019754711241049844
2025-03-31,0.011979822706407094
2025-04-30,0.011078180918852567
2025-05-30,0.0408748768225022
2025-06-30,0.026953551506917223
2025-07-31,0.001105337613598443
2025-08-29,0.01548353080167544
2025-09-30,0.027718013458392622
2025-10-31,0.030727331128330253
2025-11-28,0.005776013045626965
2025-12-31,0.010257400038538134
