Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio,Minimum Monthly Return,Maximum Monthly Return,Total Cumulative Return
Minimum Variance,0.07875194729931106,0.10807480368683316,0.7286799939744464,-0.07469915412113819,0.13672730681815004,1.3956355485428888
Value Weighted,0.08156343209871987,0.1567724004422423,0.520266525668013,-0.16760634465180382,0.13442886725722425,1.2918006638928738
